amfi_code,isin,name,category,sub_category,amc,plan,payout
119551,INF209KA12Z1,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Debt Scheme,Banking and PSU Fund,Aditya Birla Sun Life Mutual Fund,Direct,IDCW
119552,INF209K01YM2,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,Debt Scheme,Banking and PSU Fund,Aditya Birla Sun Life Mutual Fund,Direct,IDCW
119553,INF209K01YO8,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,Debt Scheme,Banking and PSU Fund,Aditya Birla Sun Life Mutual Fund,Direct,IDCW
108272,INF209K01LX6,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,Debt Scheme,Banking and PSU Fund,Aditya Birla Sun Life Mutual Fund,Regular,IDCW
110282,INF209K01LU2,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,Debt Scheme,Banking and PSU Fund,Aditya Birla Sun Life Mutual Fund,Regular,IDCW
108274,INF209K01LN7,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,Debt Scheme,Banking and PSU Fund,Aditya Birla Sun Life Mutual Fund,Regular,IDCW
110490,INF209K01LR8,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,Debt Scheme,Banking and PSU Fund,Aditya Birla Sun Life Mutual Fund,Regular,IDCW
106157,INF209K01LS6,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,Debt Scheme,Banking and PSU Fund,Aditya Birla Sun Life Mutual Fund,Regular,IDCW
108273,INF209K01LV0,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,Debt Scheme,Banking and PSU Fund,Aditya Birla Sun Life Mutual Fund,Regular,Growth
103176,INF209K01LT4,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,Debt Scheme,Banking and PSU Fund,Aditya Birla Sun Life Mutual Fund,Regular,Growth
119550,INF209K01YN0,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,Debt Scheme,Banking and PSU Fund,Aditya Birla Sun Life Mutual Fund,Direct,Growth
128952,INF846K01NF8,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,Debt Scheme,Banking and PSU Fund,Axis Mutual Fund,Direct,IDCW
120437,INF846K01CU0,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,Debt Scheme,Banking and PSU Fund,Axis Mutual Fund,Direct,IDCW
120438,INF846K01CR6,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,Debt Scheme,Banking and PSU Fund,Axis Mutual Fund,Direct,Growth
120439,INF846K01CT2,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,Debt Scheme,Banking and PSU Fund,Axis Mutual Fund,Direct,IDCW
120436,INF846K01CV8,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,Debt Scheme,Banking and PSU Fund,Axis Mutual Fund,Direct,IDCW
128953,INF846K01NG6,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,Debt Scheme,Banking and PSU Fund,Axis Mutual Fund,Regular,IDCW
117447,INF846K01CC8,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,Debt Scheme,Banking and PSU Fund,Axis Mutual Fund,Regular,IDCW
117446,INF846K01CB0,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,Debt Scheme,Banking and PSU Fund,Axis Mutual Fund,Regular,Growth
117449,INF846K01CF1,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,Debt Scheme,Banking and PSU Fund,Axis Mutual Fund,Regular,IDCW
